配置方案,比例(国债:红利:黄金:纳指),再平衡阈值,年化收益率,最大回撤,夏普比率,总收益率,再平衡次数
保守型,5:2:1:1,0%,9.13%,20.12%,1.029,151.61%,21
保守型,5:2:1:1,1%,7.54%,27.62%,0.852,125.30%,388
保守型,5:2:1:1,3%,8.10%,26.01%,0.939,138.75%,82
保守型,5:2:1:1,5%,8.17%,25.33%,0.951,138.27%,39
稳健型,2:2:1:1,0%,11.53%,30.82%,0.964,243.74%,21
稳健型,2:2:1:1,1%,9.48%,39.83%,0.777,191.63%,548
稳健型,2:2:1:1,3%,10.11%,38.43%,0.845,210.25%,99
稳健型,2:2:1:1,5%,10.40%,37.37%,0.880,218.78%,49
平衡型,1:1:1:1,0%,12.09%,29.63%,1.024,284.76%,21
平衡型,1:1:1:1,1%,10.16%,38.27%,0.842,226.42%,555
平衡型,1:1:1:1,3%,10.89%,36.78%,0.918,252.51%,102
平衡型,1:1:1:1,5%,10.97%,36.35%,0.926,255.30%,45
进取型,1:2:2:3,0%,13.35%,34.93%,0.992,372.57%,21
进取型,1:2:2:3,1%,11.36%,43.88%,0.813,296.83%,629
进取型,1:2:2:3,3%,12.05%,41.79%,0.875,323.79%,111
进取型,1:2:2:3,5%,12.27%,41.84%,0.895,337.12%,52
激进型,1:2:4:8,0%,13.98%,36.23%,0.940,470.23%,21
激进型,1:2:4:8,1%,12.51%,43.31%,0.803,397.37%,569
激进型,1:2:4:8,3%,13.09%,42.09%,0.847,428.80%,106
激进型,1:2:4:8,5%,13.24%,41.71%,0.861,438.18%,43
股金型,0:1:2:5,0%,14.56%,40.28%,0.882,537.73%,21
股金型,0:1:2:5,1%,13.17%,46.98%,0.760,460.89%,518
股金型,0:1:2:5,3%,13.64%,46.09%,0.792,491.38%,96
股金型,0:1:2:5,5%,13.94%,45.05%,0.814,508.16%,46
红利增强,3:4:1:1,0%,10.73%,37.30%,0.736,185.53%,21
红利增强,3:4:1:1,1%,8.45%,46.56%,0.557,141.03%,540
红利增强,3:4:1:1,3%,9.12%,44.96%,0.617,155.79%,109
红利增强,3:4:1:1,5%,9.38%,44.78%,0.640,163.49%,52
科技成长,1:1:1:5,0%,13.47%,39.15%,0.839,452.14%,21
科技成长,1:1:1:5,1%,12.22%,45.57%,0.725,393.57%,443
科技成长,1:1:1:5,3%,12.64%,44.71%,0.756,414.67%,75
科技成长,1:1:1:5,5%,12.81%,44.16%,0.770,425.99%,41
